listed_species,prey_diet_binomial,prey_diet_binomial_updates,order_listed,class_listed,family_listed,order_prey,class_prey,family_prey
Ammospermophilus nelsoni,Sceloporus occidentalis,Sceloporus occidentalis,Rodentia,Mammalia,Sciuridae,Squamata,Squamata,Phrynosomatidae
Ammospermophilus nelsoni,Trichostema lanceolatum,Trichostema lanceolatum,Rodentia,Mammalia,Sciuridae,Lamiales,Magnoliopsida,Lamiaceae
Ammospermophilus nelsoni,Kochia scoparia,Bassia scoparia,Rodentia,Mammalia,Sciuridae,Caryophyllales,Magnoliopsida,Amaranthaceae
Ammospermophilus nelsoni,Achnatherum miliaceum,Oloptum miliaceum,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Bromus rubens,Bromus rubens,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Chenpodium album,Chenopodium album,Rodentia,Mammalia,Sciuridae,Caryophyllales,Magnoliopsida,Amaranthaceae
Ammospermophilus nelsoni,Erodium cicutarium,Erodium cicutarium,Rodentia,Mammalia,Sciuridae,Geraniales,Magnoliopsida,Geraniaceae
Ammospermophilus nelsoni,Medicago polymorpha,Medicago polymorpha,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Schismus arabicus,Schismus arabicus,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Trifolium hirtum,Trifolium hirtum,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Acmispon strigosus,Acmispon strigosus,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Allenrolfea occidentalis,Allenrolfea occidentalis,Rodentia,Mammalia,Sciuridae,Caryophyllales,Magnoliopsida,Amaranthaceae
Ammospermophilus nelsoni,Atriplex canescens,Atriplex canescens,Rodentia,Mammalia,Sciuridae,Caryophyllales,Magnoliopsida,Amaranthaceae
Ammospermophilus nelsoni,Baileya multradiata,Baileya multiradiata,Rodentia,Mammalia,Sciuridae,Asterales,Magnoliopsida,Asteraceae
Ammospermophilus nelsoni,Chrysothamnus viscidiflorus ,Chrysothamnus viscidiflorus,Rodentia,Mammalia,Sciuridae,Asterales,Magnoliopsida,Asteraceae
Ammospermophilus nelsoni,Distichlis spicata,Distichlis spicata,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Ephedra californica,Ephedra californica,Rodentia,Mammalia,Sciuridae,Ephedrales,Gnetopsida,Ephedraceae
Ammospermophilus nelsoni,Eremalche rotundifolia,Eremalche rotundifolia,Rodentia,Mammalia,Sciuridae,Malvales,Magnoliopsida,Malvaceae
Ammospermophilus nelsoni,Eriogonum fasciculatum,Eriogonum fasciculatum,Rodentia,Mammalia,Sciuridae,Caryophyllales,Magnoliopsida,Polygonaceae
Ammospermophilus nelsoni,Gilia capitata,Gilia capitata,Rodentia,Mammalia,Sciuridae,Ericales,Magnoliopsida,Polemoniaceae
Ammospermophilus nelsoni,Gutierrezia sarothrae,Gutierrezia sarothrae,Rodentia,Mammalia,Sciuridae,Asterales,Magnoliopsida,Asteraceae
Ammospermophilus nelsoni,Hippodamia convergens,Hippodamia convergens,Rodentia,Mammalia,Sciuridae,Coleoptera,Insecta,Coccinellidae
Ammospermophilus nelsoni,Laetiporus gilbertsonii ,Laetiporus gilbertsonii,Rodentia,Mammalia,Sciuridae,Polyporales,Agaricomycetes,Fomitopsidaceae
Ammospermophilus nelsoni,Layia platyglossa,Layia platyglossa,Rodentia,Mammalia,Sciuridae,Asterales,Magnoliopsida,Asteraceae
Ammospermophilus nelsoni,Lupinus arizonicus,Lupinus arizonicus,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Lycium andersonii,Lycium andersonii,Rodentia,Mammalia,Sciuridae,Solanales,Magnoliopsida,Solanaceae
Ammospermophilus nelsoni,Lycium andersonii,Lycium andersonii,Rodentia,Mammalia,Sciuridae,Solanales,Magnoliopsida,Solanaceae
Ammospermophilus nelsoni,Malacothrix glabrata,Malacothrix glabrata,Rodentia,Mammalia,Sciuridae,Asterales,Magnoliopsida,Asteraceae
Ammospermophilus nelsoni,Oenothera californica,Oenothera californica,Rodentia,Mammalia,Sciuridae,Myrtales,Magnoliopsida,Onagraceae
Ammospermophilus nelsoni,Poa secunda,Poa secunda,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Sphaeralcea ambigua,Sphaeralcea ambigua,Rodentia,Mammalia,Sciuridae,Malvales,Magnoliopsida,Malvaceae
Ammospermophilus nelsoni,Thomomys bottae,Thomomys bottae,Rodentia,Mammalia,Sciuridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Calamospiza melanocorys,Calamospiza melanocorys,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Emberizidae
Buteo swainsoni,Callipepla squamata,Callipepla squamata,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Odontophoridae
Buteo swainsoni,Dipodomys ordii,Dipodomys ordii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Eremophila alpetris,Eremophila alpestris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Alaudidae
Buteo swainsoni,Phrynosoma cornutum,Phrynosoma cornutum,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Sceloporus undulatus,Sceloporus undulatus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Sturnella neglecta,Sturnella neglecta,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Icteridae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Thamnopsis elegans,Thamnophis elegans,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Thomomys bottae,Thomomys bottae,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Xerospermophilus spilosoma,Xerospermophilus spilosoma,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Zenaida macroura,Zenaida macroura,Accipitriformes,Aves,Accipitridae,Columbiformes,Aves,Columbidae
Buteo swainsoni,Passer domesticus,Passer domesticus,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Passeridae
Buteo swainsoni,Perdix perdix,Perdix perdix,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Phasianus colchicus,Phasianus colchicus,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Microtus californicus,Microtus californicus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Peromyscus maniculatus,Peromyscus maniculatus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Thomomys talpoides,Thomomys talpoides,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Urocitellus columbianus,Urocitellus columbianus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Passer domesticus,Passer domesticus,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Passeridae
Buteo swainsoni,Perdix perdix,Perdix perdix,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Phasianus colchicus,Phasianus colchicus,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Sturnus vulgaris,Sturnus vulgaris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Sturnidae
Buteo swainsoni,Asio flammeus,Asio flammeus,Accipitriformes,Aves,Accipitridae,Strigiformes,Aves,Strigidae
Buteo swainsoni,Eremophila alpetris,Eremophila alpestris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Alaudidae
Buteo swainsoni,Melanoplus devastator,Melanoplus devastator,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Microtus montanus,Microtus montanus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Neogale frenata,Neogale frenata,Accipitriformes,Aves,Accipitridae,Carnivora,Mammalia,Mustelidae
Buteo swainsoni,Peromyscus maniculatus,Peromyscus maniculatus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Pica hudsonia,Pica hudsonia,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Corvidae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Sturnella neglecta,Sturnella neglecta,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Icteridae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Thomomys talpoides,Thomomys talpoides,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Urocitellus columbianus,Urocitellus columbianus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Anaxyrus cognatus,Anaxyrus cognatus,Accipitriformes,Aves,Accipitridae,Anura,Amphibia,Bufonidae
Buteo swainsoni,Batrachoseps attenuatus,Batrachoseps attenuatus,Accipitriformes,Aves,Accipitridae,Caudata,Amphibia,Plethodontidae
Buteo swainsoni,Callipepla squamata,Callipepla squamata,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Odontophoridae
Buteo swainsoni,Colinus virginanus,Colinus virginianus,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Odontophoridae
Buteo swainsoni,Cynomys ludovicianus,Cynomys ludovicianus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Dipodomy spectabilis,Dipodomys spectabilis,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Dipodomys ordii,Dipodomys ordii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Neotoma micropus,Neotoma micropus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Phrynosoma cornutum,Phrynosoma cornutum,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Pituophis catenifer,Pituophis catenifer,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Plestiodon obsoletus,Plestiodon obsoletus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Scincidae
Buteo swainsoni,Sigmodon hispidus,Sigmodon hispidus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Thomomys bottae,Thomomys bottae,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Uta stansburiana,Uta stansburiana,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Xerospermophilus spilosoma,Xerospermophilus spilosoma,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Perdix perdix,Perdix perdix,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Phasianus colchicus,Phasianus colchicus,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Phasianidae
Buteo swainsoni,Sturnus vulgaris,Sturnus vulgaris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Sturnidae
Buteo swainsoni,Sturnus vulgaris,Sturnus vulgaris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Sturnidae
Buteo swainsoni,Anas platyrhynchos,Anas platyrhynchos,Accipitriformes,Aves,Accipitridae,Anseriformes,Aves,Anatidae
Buteo swainsoni,Anaxyrus boreas,Anaxyrus boreas,Accipitriformes,Aves,Accipitridae,Anura,Amphibia,Bufonidae
Buteo swainsoni,Apote notabilis,Apote notabilis,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Tettigoniidae
Buteo swainsoni,Apote notabilis,Apote notabilis,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Tettigoniidae
Buteo swainsoni,Arphia behrensi,Arphia behrensi,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Arphia behrensi,Arphia behrensi,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Artemisiospiza belli,Artemisiospiza belli,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Emberizidae
Buteo swainsoni,Camptonotus carolinensis,Camptonotus carolinensis,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Gryllacrididae
Buteo swainsoni,Chalcolepidius webbi,Chalcolepidius webbi,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Elateridae
Buteo swainsoni,Cicindela willistoni,Cicindela willistoni,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Carabidae
Buteo swainsoni,Coluber constrictor,Coluber constrictor,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Dipodomys ordii,Dipodomys ordii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Eleodes acuticauda,Eleodes acuticauda,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Tenebrionidae
Buteo swainsoni,Eleodes acuticauda,Eleodes acuticauda,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Tenebrionidae
Buteo swainsoni,Eremophila alpetris,Eremophila alpestris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Alaudidae
Buteo swainsoni,Larus delawarensis,Larus delawarensis,Accipitriformes,Aves,Accipitridae,Charadriiformes,Aves,Laridae
Buteo swainsoni,Larus delawarensis,Larus delawarensis,Accipitriformes,Aves,Accipitridae,Charadriiformes,Aves,Laridae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Masticophis taeniatus,Masticophis taeniatus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Microtus californicus,Microtus californicus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Numenius americanus,Numenius americanus,Accipitriformes,Aves,Accipitridae,Charadriiformes,Aves,Scolopacidae
Buteo swainsoni,Paracotalpa granicollis,Paracotalpa granicollis,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Scarabaeidae
Buteo swainsoni,Perognathus parvus,Perognathus parvus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Perognathus parvus,Perognathus parvus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Peromyscus maniculatus,Peromyscus maniculatus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Peromyscus maniculatus,Peromyscus maniculatus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Peromyscus maniculatus,Peromyscus maniculatus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Phrynosoma douglasii,Phrynosoma douglasii,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Pica hudsonia,Pica hudsonia,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Corvidae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Polyphylla decemlineata,Polyphylla decemlineata,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Scarabaeidae
Buteo swainsoni,Sceloporus graciosus,Sceloporus graciosus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Schistocerca nitens,Schistocerca nitens,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Sturnella neglecta,Sturnella neglecta,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Icteridae
Buteo swainsoni,Sturnella neglecta,Sturnella neglecta,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Icteridae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Sylvilagus nuttallii,Sylvilagus nuttallii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Sylvilagus nuttallii,Sylvilagus nuttallii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Thamnophis sirtalis,Thamnophis sirtalis,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Thomomys talpoides,Thomomys talpoides,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Thomomys talpoides,Thomomys talpoides,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Urocitellus columbianus,Urocitellus columbianus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Urocitellus townsendii,Urocitellus townsendii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Urocitellus townsendii,Urocitellus townsendii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Coluber constrictor,Coluber constrictor,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Eremophila alpetris,Eremophila alpestris,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Alaudidae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Perognathus parvus,Perognathus parvus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Sylvilagus nuttallii,Sylvilagus nuttallii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Urocitellus townsendii,Urocitellus townsendii,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Schistocerca nitens,Schistocerca nitens,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Microtus californicus,Microtus californicus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Neotoma lepida,Neotoma lepida,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Neotoma lepida,Neotoma lepida,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Otospermophilus beecheyi,Otospermophilus beecheyi,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Sceloporus occidentalis,Sceloporus occidentalis,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Thomomys bottae,Thomomys bottae,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Geomyidae
Buteo swainsoni,Zenaida macroura,Zenaida macroura,Accipitriformes,Aves,Accipitridae,Columbiformes,Aves,Columbidae
Buteo swainsoni,Anax junius,Anax junius,Accipitriformes,Aves,Accipitridae,Odonata,Insecta,Aeshnidae
Buteo swainsoni,Neohelice granulata,Neohelice granulata,Accipitriformes,Aves,Accipitridae,Decapoda,Malacostraca,Varunidae
Buteo swainsoni,Neoscapteriscus vicinus,Neoscapteriscus vicinus,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Gryllotalpidae
Buteo swainsoni,Rhionaeschna bonariensis,Rhionaeschna bonariensis,Accipitriformes,Aves,Accipitridae,Odonata,Insecta,Aeshnidae
Buteo swainsoni,Melanoplus devastator,Melanoplus devastator,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Microtus montanus,Microtus montanus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Ophryastes desertus,Ophryastes desertus,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Curculionidae
Buteo swainsoni,Spodoptera frugiperda,Spodoptera frugiperda,Accipitriformes,Aves,Accipitridae,Lepidoptera,Insecta,Noctuidae
Buteo swainsoni,Apis mellifera,Apis mellifera,Accipitriformes,Aves,Accipitridae,Hymenoptera,Insecta,Apidae
Buteo swainsoni,Aspidoscelis inornatus,Aspidoscelis inornatus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Teiidae
Buteo swainsoni,Aspidoscelis scalaris,Aspidoscelis scalaris,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Teiidae
Buteo swainsoni,Callipepla squamata,Callipepla squamata,Accipitriformes,Aves,Accipitridae,Galliformes,Aves,Odontophoridae
Buteo swainsoni,Canthon simplex,Canthon simplex,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Scarabaeidae
Buteo swainsoni,Cicindela willistoni,Cicindela willistoni,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Carabidae
Buteo swainsoni,Cophosaurus texanus,Cophosaurus texanus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Crotalus cerastes,Crotalus cerastes,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Viperidae
Buteo swainsoni,Cryptoglossa muricata,Cryptoglossa muricata,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Tenebrionidae
Buteo swainsoni,Diapheromera femorata,Diapheromera femorata,Accipitriformes,Aves,Accipitridae,Phasmida,Insecta,Diapheromeridae
Buteo swainsoni,Diplotaxis moerens,Diplotaxis moerens,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Scarabaeidae
Buteo swainsoni,Dipodomys merriami,Dipodomys merriami,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Heteromyidae
Buteo swainsoni,Eremochelis kastoni,Eremochelis kastoni,Accipitriformes,Aves,Accipitridae,Solifugae,Arachnida,Eremobatidae
Buteo swainsoni,Falco sparveirus,Falco sparverius,Accipitriformes,Aves,Accipitridae,Falconiformes,Aves,Falconidae
Buteo swainsoni,Geococcyx californianus,Geococcyx californianus,Accipitriformes,Aves,Accipitridae,Cuculiformes,Aves,Cuculidae
Buteo swainsoni,Holbrookia maculata,Holbrookia maculata,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Latrodectus hesperus,Latrodectus hesperus,Accipitriformes,Aves,Accipitridae,Araneae,Arachnida,Theridiidae
Buteo swainsoni,Lepus californicus,Lepus californicus,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Lytta magister,Lytta magister,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Meloidae
Buteo swainsoni,Masticophis lateralis,Masticophis lateralis,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Mimus polyglottos,Mimus polyglottos,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Mimidae
Buteo swainsoni,Molothrus ater,Molothrus ater,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Icteridae
Buteo swainsoni,Myiarchus tyrannulus,Myiarchus tyrannulus,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Tyrannidae
Buteo swainsoni,Neotoma albigula,Neotoma albigula,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Ophryastes desertus,Ophryastes desertus,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Curculionidae
Buteo swainsoni,Phainopepla nitens,Phainopepla nitens,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Ptilogonatidae
Buteo swainsoni,Phrynosoma cornutum,Phrynosoma cornutum,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Phrynosomatidae
Buteo swainsoni,Phyllophaga errans,Phyllophaga errans,Accipitriformes,Aves,Accipitridae,Coleoptera,Insecta,Scarabaeidae
Buteo swainsoni,Pituophis melanoleucus,Pituophis melanoleucus,Accipitriformes,Aves,Accipitridae,Squamata,Squamata,Colubridae
Buteo swainsoni,Polioptila melanura,Polioptila melanura,Accipitriformes,Aves,Accipitridae,Passeriformes,Aves,Polioptilidae
Buteo swainsoni,Scaphiopus couchii,Scaphiopus couchii,Accipitriformes,Aves,Accipitridae,Anura,Amphibia,Scaphiopodidae
Buteo swainsoni,Schistocerca nitens,Schistocerca nitens,Accipitriformes,Aves,Accipitridae,Orthoptera,Insecta,Acrididae
Buteo swainsoni,Sigmodon hispidus,Sigmodon hispidus,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Cricetidae
Buteo swainsoni,Sylvilagus audubonii,Sylvilagus audubonii,Accipitriformes,Aves,Accipitridae,Lagomorpha,Mammalia,Leporidae
Buteo swainsoni,Vanessa cardui,Vanessa cardui,Accipitriformes,Aves,Accipitridae,Lepidoptera,Insecta,Nymphalidae
Buteo swainsoni,Xerospermophilus spilosoma,Xerospermophilus spilosoma,Accipitriformes,Aves,Accipitridae,Rodentia,Mammalia,Sciuridae
Buteo swainsoni,Zenaida asiatica,Zenaida asiatica,Accipitriformes,Aves,Accipitridae,Columbiformes,Aves,Columbidae
